+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                    ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; vpg_inst|vgp_pll_reconfig_inst|vpg_pll_reconfig_inst|NM28_reconfig.mif_reconfig.altera_pll_reconfig_core_inst0|dyn_phase_shift_inst|lcell_cnt_sel_2      ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vpg_inst|vgp_pll_reconfig_inst|vpg_pll_reconfig_inst|NM28_reconfig.mif_reconfig.altera_pll_reconfig_core_inst0|dyn_phase_shift_inst|lcell_cnt_sel_1      ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vpg_inst|vgp_pll_reconfig_inst|vpg_pll_reconfig_inst|NM28_reconfig.mif_reconfig.altera_pll_reconfig_core_inst0|dyn_phase_shift_inst|lcell_cnt_sel_0      ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vpg_inst|vgp_pll_reconfig_inst|vpg_pll_reconfig_inst|NM28_reconfig.mif_reconfig.altera_pll_reconfig_core_inst0|dyn_phase_shift_inst                      ; 29    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vpg_inst|vgp_pll_reconfig_inst|vpg_pll_reconfig_inst|NM28_reconfig.mif_reconfig.altera_pll_reconfig_core_inst0|altera_std_synchronizer_inst              ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vpg_inst|vgp_pll_reconfig_inst|vpg_pll_reconfig_inst|NM28_reconfig.mif_reconfig.altera_pll_reconfig_core_inst0                                           ; 106   ; 25             ; 46           ; 25             ; 107    ; 25              ; 25            ; 25              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vpg_inst|vgp_pll_reconfig_inst|vpg_pll_reconfig_inst|NM28_reconfig.mif_reconfig.altera_pll_reconfig_mif_reader_inst0|altsyncram_component|auto_generated ; 10    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vpg_inst|vgp_pll_reconfig_inst|vpg_pll_reconfig_inst|NM28_reconfig.mif_reconfig.altera_pll_reconfig_mif_reader_inst0                                     ; 45    ; 0              ; 31           ; 0              ; 41     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vpg_inst|vgp_pll_reconfig_inst|vpg_pll_reconfig_inst                                                                                                     ; 110   ; 4              ; 0            ; 4              ; 97     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vpg_inst|vgp_pll_reconfig_inst                                                                                                                           ; 106   ; 1              ; 0            ; 1              ; 65     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vpg_inst|vpg_pll_cnfg_mngr                                                                                                                               ; 8     ; 1              ; 0            ; 1              ; 42     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vpg_inst|vpg_pll_inst|vpg_pll_inst                                                                                                                       ; 66    ; 0              ; 0            ; 0              ; 66     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vpg_inst|vpg_pll_inst                                                                                                                                    ; 66    ; 0              ; 0            ; 0              ; 66     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vpg_inst                                                                                                                                                 ; 9     ; 2              ; 0            ; 2              ; 28     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; video_selector_inst|LPM_MUX_component|auto_generated                                                                                                     ; 58    ; 0              ; 0            ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; video_selector_inst                                                                                                                                      ; 58    ; 55             ; 0            ; 55             ; 27     ; 55              ; 55            ; 55              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys_pll_inst|sys_pll_inst                                                                                                                                ; 3     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sys_pll_inst                                                                                                                                             ; 3     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
